Usage_Count,Annual_Maintenance_Cost
152,47.673900481628635
485,352.00778958026456
398,295.36806145201064
320,308.8561113109458
156,141.98091447842307
121,8.647992231863313
238,206.60419846973974
70,36.74588597918417
152,87.75389998470207
171,167.38381444204342
264,262.74997612479757
380,350.56400595580993
137,67.63912383886807
422,322.13938120743927
149,135.7631715701782
409,375.977256356118
201,136.84128810773552
180,134.71705116680914
199,103.8832512996986
358,226.5896687959665
307,286.2262911197099
393,382.21200142854116
463,366.79949392098337
343,324.57664489460126
435,366.0818012523817
241,160.5440122697438
493,412.4697802754207
326,337.70182832329846
210,166.20869804450243
363,368.6321827907003
71,-74.1872552044872
302,282.69512521876123
285,232.35235341190855
394,300.24963247670667
98,82.98803882677512
108,-12.97844573004464
219,164.21640560812443
237,207.45562857558735
320,329.8947022370758
239,165.28648908631766
495,355.57531985534064
224,154.1121478207732
495,441.7701058851037
100,96.43755548298422
413,303.9119898116481
104,108.8633716556678
293,239.25387746740202
369,343.63224952664444
180,108.89734530613238
356,268.4168926701116
184,127.59459234339214
70,-17.17574740660592
378,317.20601385322885
216,185.85276360899448
323,258.65567283212306
437,337.87064333124266
138,39.631462897479295
365,270.96773386173203
63,33.26427417366153
291,192.68613653891907
314,243.13571441669956
395,336.2025428407269
102,175.90929506052652
435,356.72889064159193
389,324.07751953613825
141,109.07770421169165
416,236.86143923504795
493,393.0743062275392
477,384.61151049705137
313,373.5621056242643
480,374.3819517609439
84,82.27736711668062
255,202.26441151473784
130,45.5660981190234
469,432.3411407257511
99,116.7966516343387
409,366.7515973521524
437,304.13062726026305
51,110.93971554680496
439,281.107446860386
103,111.74285469001352
155,233.52278129049893
309,197.6731837434656
359,258.8851135198614
240,196.98256825438207
451,335.62621729419004
267,136.0668284466934
93,77.82814874030137
211,115.68481431369477
251,224.47962153175908
495,350.02878828830984
319,332.696720250877
400,280.83733538318813
353,266.29692418971626
320,296.6758608684835
264,149.65678417830225
301,252.17299673020648
239,256.55713771412144
345,195.62583827193862
262,218.83169292661523
